PostcodeDistrict,EstimatedCatPopulation
AB10,"1,675.72"
AB11,"2,072.99"
AB12,"3,601.57"
AB13,"1,153.84"
AB14,"2,325.13"
AB15,"8,774.02"
AB16,"5,664.09"
AB21,"5,429.21"
AB22,"1,950.47"
AB23,"1,094.73"
AB24,"1,994.16"
AB25,851.0035514
AB30,"4,225.42"
AB31,"3,961.30"
AB32,923.3044091
AB33,"1,960.82"
AB34,"2,182.35"
AB35,748.8826325
AB36,198.7987426
AB37,805.854518
AB38,"2,503.43"
AB39,"4,902.58"
AB41,"7,457.56"
AB42,"9,981.04"
AB43,"9,081.17"
AB44,"2,408.16"
AB45,"3,211.51"
AB51,"12,705.25"
AB52,"4,285.25"
AB53,"9,130.65"
AB54,"2,686.30"
AB55,"4,197.28"
AB56,866.9044183
AL1,"2,570.54"
AL10,"4,027.15"
AL2,"7,389.91"
AL3,"4,061.57"
AL4,"3,089.77"
AL5,"4,441.67"
AL6,"4,157.38"
AL7,"4,655.45"
AL8,"2,757.97"
AL9,"5,893.83"
B1,428.5319285
B10,575.8420669
B11,"1,444.01"
B12,607.8803998
B13,"1,600.86"
B14,"2,868.36"
B15,853.1961669
B16,"1,017.49"
B17,"1,844.87"
B18,678.657341
B19,265.329493
B2,88.52149839
B20,506.2086567
B21,508.5390567
B23,"2,462.92"
B24,"1,817.29"
B25,"1,018.06"
B26,"1,978.75"
B27,"3,100.61"
B28,"2,288.59"
B29,"1,778.16"
B3,131.8046082
B30,"1,575.49"
B31,"3,862.96"
B32,"2,272.32"
B33,"2,016.49"
B34,"1,001.63"
B35,747.7114246
B36,"1,950.34"
B37,"4,019.93"
B38,"1,374.84"
B4,63.97059597
B40,9.320749627
B42,"1,306.22"
B43,"3,183.93"
B44,"3,027.31"
B45,"3,147.61"
B46,"3,712.53"
B47,"2,482.76"
B48,"1,450.09"
B49,"2,452.52"
B5,439.1810073
B50,"1,274.87"
B6,236.6754937
B60,"4,385.65"
B61,"4,272.80"
B62,"2,833.20"
B63,"3,488.33"
B64,"1,468.08"
B65,"3,101.16"
B66,"1,125.08"
B67,"1,437.58"
B68,"2,077.93"
B69,"2,761.60"
B7,212.9204033
B70,"1,428.86"
B71,"2,133.97"
B72,567.5448289
B73,"1,731.02"
B74,"3,394.01"
B75,"1,767.23"
B76,"1,295.71"
B77,"3,906.41"
B78,"4,090.85"
B79,"4,156.18"
B8,786.8403906
B80,"1,019.40"
B9,706.7715058
B90,"10,127.42"
B91,"8,753.25"
B92,"6,475.57"
B93,"2,748.38"
B94,"1,742.39"
B95,777.4422182
B96,"1,658.51"
B97,"5,226.27"
B98,"3,474.19"
BA1,"7,063.64"
BA10,"1,211.93"
BA11,"11,619.51"
BA12,"11,330.13"
BA13,"2,863.35"
BA14,"4,602.97"
BA15,"2,293.41"
BA16,"1,440.70"
BA2,"17,395.63"
BA20,"1,686.00"
BA21,"5,087.77"
BA22,"6,687.52"
BA3,"8,018.55"
BA4,"7,430.48"
BA5,"5,317.42"
BA6,"4,176.98"
BA7,"4,010.26"
BA8,"1,342.55"
BA9,"3,770.64"
BB1,"7,302.31"
BB10,"2,179.23"
BB11,"2,256.60"
BB12,"3,562.15"
BB18,"5,154.70"
BB2,"9,418.52"
BB3,"5,147.07"
BB4,"4,432.70"
BB5,"4,200.15"
BB6,"2,768.09"
AB99,0
B99,0
BB7,"8,112.05"
BB8,"6,741.34"
BB9,"8,780.08"
BD1,297.20577
BD10,"4,495.64"
BD11,"5,002.59"
BD12,"1,268.53"
BD13,"1,245.74"
BD14,359.4094864
BD15,"1,303.96"
